Name,URL,Line1,Line2,Region,Case,Slope,LiveStream,Threshold
cabin,rtsp://admin:admin123@192.168.0.101/Streaming/Channels/101,"((55, 227), (351, 196))","((5, 177), (301, 146))","(139, 126, 389, 280)",4,-0.10472973,Yes,7000
side,rtsp://admin:admin123@192.168.0.102/Streaming/Channels/101,"((192, 249), (388, 134))","((142, 199), (338, 84))","(147, 47, 414, 314)",4,-0.586734694,No,5000
main ,rtsp://admin:admin123@192.168.0.103/Streaming/Channels/101,"((111, 176), (245, 77))","((61, 126), (195, 27))","(192, 157, 293, 275)",4,-0.73880597,No,5000
cabin,rtsp://admin:admin123@192.168.0.101/Streaming/Channels/101,"((54, 137), (411, 223))","((84, 107), (441, 193))","(21, 71, 496, 335)",2,0.24089635854341737,No,7000
main,rtsp://admin:admin123@192.168.0.103/Streaming/Channels/101,"((32, 77), (342, 225))","((62, 47), (372, 195))","(75, 110, 454, 311)",2,0.4774193548387097,No,2819
cabin,rtsp://admin:admin123@192.168.0.101/Streaming/Channels/101,"((5, 113), (219, 227))","((35, 83), (249, 197))","(199, 79, 313, 264)",2,0.5327102803738317,No,1202
main,rtsp://admin:admin123@192.168.0.101/Streaming/Channels/101,"((40, 80), (322, 150))","((70, 50), (352, 120))","(100, 130, 364, 332)",2,0.24822695035460993,No,6372
cabin,rtsp://admin:admin123@192.168.0.101/Streaming/Channels/101,"((16, 168), (313, 135))","((-14, 138), (283, 105))","(131, 68, 371, 358)",4,-0.1111111111111111,No,1200
cabin,rtsp://admin:admin123@192.168.0.101/Streaming/Channels/101,"((-1, 195), (277, 154))","((-31, 165), (247, 124))","(128, 131, 388, 333)",4,-0.1474820143884892,No,2010
side,rtsp://admin:admin123@192.168.0.101/Streaming/Channels/101,"((10, 148), (319, 146))","((-20, 118), (289, 116))","(145, 137, 404, 341)",4,-0.006472491909385114,No,100
